0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
18,4,4,2,0,0,0,0,1,1,1,0,3,2,4,1,4,2,4
16,3,1,2,0,0,1,0,0,1,1,0,2,3,3,2,2,4,2
18,4,4,2,0,0,0,0,1,1,1,0,4,3,5,1,2,1,0
16,4,4,2,0,0,1,0,0,1,0,0,5,3,2,1,3,2,5
15,1,1,2,0,1,1,0,0,1,1,1,3,3,4,2,4,5,2
16,4,4,3,0,0,0,0,1,1,1,1,4,2,2,1,1,4,6
16,4,2,2,0,0,0,0,0,1,1,1,4,2,3,1,1,3,0
18,2,1,2,3,0,1,0,1,0,1,1,5,4,5,1,3,5,10
18,3,3,2,0,0,1,0,0,1,1,0,3,2,4,2,4,4,10
17,1,1,2,0,0,1,0,0,1,0,0,4,3,4,1,2,5,4
17,4,2,4,0,0,0,0,0,1,1,1,4,2,3,3,1,5,0
16,0,2,1,0,0,0,0,0,1,1,0,4,3,2,2,4,5,0
16,3,2,3,0,0,0,0,1,1,1,1,5,3,3,1,3,2,0
15,2,3,3,0,1,0,0,0,1,1,0,5,3,2,1,2,5,2
15,2,2,3,0,1,1,0,0,1,0,0,4,4,3,2,2,5,2
16,4,4,2,0,0,1,0,1,1,1,0,4,2,4,2,4,1,0
18,4,4,2,0,0,1,0,0,1,1,0,4,4,4,3,3,5,0
17,3,1,3,0,0,1,1,0,0,0,0,4,2,3,2,2,3,5
15,3,1,4,0,0,1,0,0,1,1,0,4,4,2,2,3,3,6
15,4,4,2,0,0,1,0,0,1,1,0,3,3,3,1,2,2,2
17,3,3,1,0,0,1,0,0,1,1,0,4,4,3,1,3,5,0
16,4,3,3,0,1,1,0,1,1,1,0,3,4,4,2,4,4,0
19,4,4,2,0,0,1,0,1,1,1,0,2,3,4,2,3,2,2
15,3,3,1,0,0,0,0,0,1,1,0,5,3,4,4,4,1,0
16,2,1,2,0,0,0,0,0,1,1,1,3,2,2,1,1,3,0
17,4,4,1,0,0,0,0,0,1,1,0,4,1,1,2,2,5,0
16,1,3,1,1,0,0,0,0,0,1,0,5,3,3,1,4,2,2
17,2,2,4,0,0,0,0,1,1,1,1,3,4,1,1,1,2,2
17,1,1,3,0,0,1,0,0,1,0,1,4,3,3,1,1,3,0
15,4,4,2,0,0,1,0,1,1,1,0,4,3,1,1,1,5,2
18,4,4,3,0,0,0,0,0,1,1,1,4,2,2,2,2,5,0
16,2,1,2,0,0,0,0,1,1,1,1,5,3,4,1,1,2,2
17,2,1,1,1,0,0,1,1,0,1,1,3,3,2,2,2,5,8
16,1,1,2,3,1,1,0,0,1,0,0,3,4,3,1,1,1,0
17,4,2,2,0,1,1,0,0,1,1,0,4,3,3,2,3,5,0
17,2,4,2,0,0,0,0,1,1,1,1,4,3,2,1,1,5,8
15,4,4,1,0,0,0,0,1,1,1,0,5,5,3,1,1,4,4
17,0,2,3,0,0,0,0,0,1,1,0,3,3,3,2,3,2,0
17,4,4,1,0,0,0,0,0,1,1,0,5,2,3,1,2,5,4
15,3,2,2,1,0,1,0,0,1,1,0,3,3,2,1,1,3,2
15,3,3,3,0,0,1,1,1,1,1,1,4,2,1,2,3,3,2
19,4,2,2,0,0,1,0,1,1,1,1,5,4,4,1,1,1,9
16,4,4,2,0,0,1,0,0,1,1,1,4,3,4,1,2,3,4
15,4,0,4,0,0,0,0,1,1,1,0,3,4,3,1,1,1,0
18,1,2,2,0,0,0,0,0,1,1,0,4,4,3,1,2,4,0
15,1,1,2,0,1,0,0,0,1,1,0,4,3,2,2,3,3,6
18,1,1,3,0,0,0,0,0,1,1,0,5,3,2,1,1,4,0
17,4,4,2,0,0,1,1,0,1,1,1,5,3,1,1,4,5,2
17,4,2,3,0,0,1,0,1,1,1,0,4,3,4,1,3,5,2
